date,home,away,goals_home,goals_away,season,delta,year,home__val,away__val,home__scored,home__suffered,home__delta_minus_1,home__delta_minus_2,home__delta_minus_3,home__delta_minus_4,home__avg_scored_3,home__avg_suffered_3,home__avg_scored_5,home__avg_suffered_5,away__scored,away__suffered,away__delta_minus_1,away__delta_minus_2,away__delta_minus_3,away__delta_minus_4,away__avg_scored_3,away__avg_suffered_3,away__avg_scored_5,away__avg_suffered_5
2019-08-18,Desportivo Aves,Marítimo,3,1,2019,2,2019,10700,15650,3,1,2,-1,-1,0,1.6666666666666665,1.6666666666666665,0.0,1.5999999999999999,1,3,-2,0,0,0,1.0,1.6666666666666665,0.0,1.8
2019-08-18,Desportivo Aves,Marítimo,3,1,2019,2,2019,10700,15650,3,1,2,-1,-1,0,1.6666666666666665,1.6666666666666665,0.0,1.5999999999999999,1,3,0,0,0,0,0.0,1.0,0.0,1.2000000000000002
2019-08-18,Desportivo Aves,Marítimo,3,1,2019,2,2019,10700,15650,3,1,-1,-1,0,0,0.0,2.0,0.0,2.2,1,3,-2,0,0,0,1.0,1.6666666666666665,0.0,1.8
2019-08-18,Desportivo Aves,Marítimo,3,1,2019,2,2019,10700,15650,3,1,-1,-1,0,0,0.0,2.0,0.0,2.2,1,3,0,0,0,0,0.0,1.0,0.0,1.2000000000000002
2019-08-18,Paços Ferreira,Santa Clara,0,1,2019,-1,2019,10200,15350,0,1,-1,-5,-5,0,0.0,3.666666666666666,0.0,2.8000000000000003,1,0,1,-2,-2,0,0.3333333333333333,1.3333333333333333,0.0,2.4000000000000004
2019-08-18,Paços Ferreira,Santa Clara,0,1,2019,-1,2019,10200,15350,0,1,-1,-5,-5,0,0.0,3.666666666666666,0.0,2.8000000000000003,1,0,-2,-2,0,0,0.0,2.6666666666666665,0.0,2.6000000000000005
2019-08-18,Paços Ferreira,Santa Clara,0,1,2019,-1,2019,10200,15350,0,1,-5,-5,0,0,0.0,4.333333333333333,0.0,2.8000000000000003,1,0,1,-2,-2,0,0.3333333333333333,1.3333333333333333,0.0,2.4000000000000004
2019-08-18,Paços Ferreira,Santa Clara,0,1,2019,-1,2019,10200,15350,0,1,-5,-5,0,0,0.0,4.333333333333333,0.0,2.8000000000000003,1,0,-2,-2,0,0,0.0,2.6666666666666665,0.0,2.6000000000000005
2019-08-18,Vit. Guimarães,Boavista,1,1,2019,0,2019,43680,17650,1,1,0,0,0,0,0.0,1.0,0.0,1.4,1,1,0,1,1,0,1.6666666666666665,1.0,0.0,1.0
2019-08-18,Vit. Guimarães,Boavista,1,1,2019,0,2019,43680,17650,1,1,0,0,0,0,0.0,1.0,0.0,1.4,1,1,1,1,0,0,0.0,0.6666666666666666,0.0,0.8
